"x","y_obs","weight","y_calc","y_bkg"
18.186,37.0,0.02703,45.865,44.617
18.202,41.0,0.02439,45.848,44.614
18.218,46.0,0.02174,45.832,44.611
18.234,55.0,0.01818,45.817,44.608
18.25,60.0,0.01667,45.803,44.605
18.266,61.0,0.01639,45.79,44.602
18.282,57.0,0.01754,45.778,44.599
18.298,49.0,0.02041,45.767,44.596
18.314,44.0,0.02273,45.757,44.593
18.33,41.0,0.02439,45.748,44.59
18.346,42.0,0.02381,45.74,44.587
18.362,47.0,0.02128,45.732,44.584
18.378,47.0,0.02128,45.726,44.581
18.394,42.0,0.02381,45.721,44.578
18.41,39.0,0.02564,45.717,44.575
18.426,42.0,0.02381,45.714,44.572
18.442,48.0,0.02083,45.713,44.569
18.458,49.0,0.02041,45.712,44.566
18.474,47.0,0.02128,45.712,44.563
18.49,37.0,0.02703,45.714,44.56
18.506,41.0,0.02439,45.717,44.557
18.522,44.0,0.02273,45.722,44.554
18.538,44.0,0.02273,45.727,44.551
18.554,44.0,0.02273,45.735,44.548
18.57,35.0,0.02857,45.743,44.545
18.586,42.0,0.02381,45.754,44.542
18.602,47.0,0.02128,45.766,44.539
18.618,39.0,0.02564,45.78,44.536
18.634,46.0,0.02174,45.796,44.533
18.65,51.0,0.01961,45.814,44.53
18.666,53.0,0.01887,45.835,44.527
18.682,59.0,0.01695,45.857,44.524
18.698,34.0,0.02941,45.883,44.521
18.714,46.0,0.02174,45.911,44.518
18.73,58.0,0.01724,45.943,44.515
18.746,50.0,0.02,45.978,44.512
18.762,46.0,0.02174,46.016,44.509
18.778,52.0,0.01923,46.059,44.506
18.794,48.0,0.02083,46.106,44.503
18.81,52.0,0.01923,46.159,44.5
18.826,50.0,0.02,46.216,44.497
18.842,55.0,0.01818,46.28,44.494
18.858,44.0,0.02273,46.351,44.491
18.874,56.0,0.01786,46.43,44.488
18.89,47.0,0.02128,46.517,44.485
18.906,55.0,0.01818,46.614,44.482
18.922,37.0,0.02703,46.722,44.479
18.938,50.0,0.02,46.842,44.476
18.954,52.0,0.01923,46.978,44.473
18.97,51.0,0.01961,47.129,44.47
18.986,57.0,0.01754,47.3,44.466
19.002,50.0,0.02,47.494,44.463
19.018,47.0,0.02128,47.714,44.46
19.034,51.0,0.01961,47.964,44.457
19.05,49.0,0.02041,48.252,44.454
19.066,65.0,0.01538,48.583,44.451
19.082,58.0,0.01724,48.968,44.448
19.098,48.0,0.02083,49.416,44.445
19.114,54.0,0.01852,49.944,44.442
19.13,47.0,0.02128,50.57,44.439
19.146,47.0,0.02128,51.321,44.436
19.162,44.0,0.02273,52.23,44.433
19.178,53.0,0.01887,53.353,44.43
19.194,35.0,0.02857,54.785,44.427
19.21,45.0,0.02222,56.738,44.424
19.226,66.0,0.01515,59.733,44.421
19.242,49.0,0.02041,65.004,44.417
19.258,84.0,0.0119,75.174,44.414
19.274,96.0,0.01042,94.952,44.411
19.29,123.0,0.00813,131.094,44.408
19.306,161.0,0.00621,190.639,44.405
19.322,213.0,0.00469,277.023,44.402
19.338,347.0,0.00288,385.316,44.399
19.354,463.0,0.00216,498.698,44.396
19.37,591.0,0.00169,589.277,44.393
19.386,667.0,0.0015,631.27,44.39
19.402,654.0,0.00153,619.196,44.387
19.418,590.0,0.00169,561.523,44.384
19.434,487.0,0.00205,469.891,44.38
19.45,394.0,0.00254,363.674,44.377
19.466,277.0,0.00361,264.436,44.374
19.482,199.0,0.00503,185.325,44.371
19.498,132.0,0.00758,129.884,44.368
19.514,90.0,0.01111,95.221,44.365
19.53,76.0,0.01316,75.56,44.362
19.546,60.0,0.01667,65.117,44.359
19.562,49.0,0.02041,59.611,44.356
19.578,58.0,0.01724,56.499,44.353
19.594,65.0,0.01538,54.505,44.349
19.61,60.0,0.01667,53.065,44.346
19.626,57.0,0.01754,51.944,44.343
19.642,56.0,0.01786,51.035,44.34
19.658,52.0,0.01923,50.283,44.337
19.674,60.0,0.01667,49.653,44.334
19.69,68.0,0.01471,49.12,44.331
19.706,64.0,0.01562,48.665,44.328
19.722,59.0,0.01695,48.272,44.324
19.738,56.0,0.01786,47.932,44.321
19.754,54.0,0.01852,47.635,44.318
19.77,49.0,0.02041,47.374,44.315
19.786,55.0,0.01818,47.174,44.312
19.802,54.0,0.01852,46.969,44.309
19.818,44.0,0.02273,46.786,44.306
19.834,41.0,0.02439,46.622,44.303
19.85,40.0,0.025,46.495,44.299
19.866,41.0,0.02439,46.362,44.296
19.882,43.0,0.02326,46.241,44.293
19.898,44.0,0.02273,46.131,44.29
19.914,40.0,0.025,46.03,44.287
